ORIG	DEST	N_TOT
5293	5294	1
5294	5280	1
5326	4634	1
5360	5360	1
5360	5501	1
5361	5360	1
5369	5369	1
5369	5370	1
5370	5370	1
5370	5372	1
5372	5372	1
5372	5397	1
5395	5395	1
5395	5396	1
5396	5396	1
5396	5401	1
5397	5397	1
5401	5401	1
5459	5523	1
5501	3359	1
5501	3839	1
5501	5253	1
5501	7378	1
5505	5507	1
5506	5506	2
5506	5512	1
5506	5521	1
5507	5507	1
5507	5508	1
5508	5506	1
5508	5508	1
5512	5512	1
5514	4504	1
5521	5521	1
5523	4604	1
5523	5523	1
5663	5395	1
5663	5666	1
5666	5369	1
5666	5666	1
5687	5687	1
5688	5687	1
5731	5501	1
5772	5775	1
5775	5775	1
5775	5794	1
5778	5778	1
5778	5780	1
5780	5780	1
5794	4178	1
5808	5808	1
5810	5778	1
5812	4178	1
5823	5823	1
5823	5855	1
5828	5828	1
5830	4341	1
5830	5830	1
5844	4419	1
5844	5844	1
5845	5844	1
5852	5852	1
5852	5854	1
5854	5854	1
5855	5852	1
5855	5855	1
5858	5823	1
5859	5860	1
5860	5830	1
5985	5985	1
5985	5988	1
5987	5985	1
5988	5988	1
5988	5989	1
5989	5989	1
5989	6042	1
6017	6017	1
6021	6028	1
6022	6021	1
6022	6022	1
6026	6031	1
6028	6023	1
6028	6028	1
6031	6031	1
6031	6032	1
6032	6032	1
6032	6037	1
6033	6017	1
6033	6033	1
6037	4201	1
6037	6037	1
6042	6043	1
6043	6043	1
6083	6033	1
6090	6090	1
6104	6120	1
6120	6120	1
6120	6123	1
6121	6121	1
6121	6124	1
6122	6121	1
6122	6122	1
6123	6122	1
6123	6123	1
6124	4100	1
6126	6126	1
6150	6022	1
6150	6150	1
6157	6202	1
6167	6168	1
6168	6168	1
6168	6169	1
6169	6169	1
6177	6201	1
6185	6126	1
6185	6185	1
6193	6185	1
6201	4178	1
6201	6201	1
6202	6202	1
6202	6203	1
6203	4604	1
6203	6203	1
6217	6150	1
6217	6217	1
6380	6480	1
6480	6491	1
6491	6491	1
6491	6492	1
6492	6492	1
6492	6502	1
6498	5501	1
6498	6498	1
6499	6499	1
6502	5293	1
6513	6498	1
6523	6523	1
6523	6534	1
6524	4806	1
6531	6523	1
6534	6524	1
6737	6741	1
6740	6740	2
6740	6748	1
6741	6740	2
6741	6741	2
6742	6741	1
6748	6748	1
6748	6751	1
6751	6708	1
6751	6751	1
6768	6771	1
6769	6769	1
6770	6769	1
6770	6770	2
6771	6770	2
6771	6771	1
6783	6783	1
6784	6825	1
6825	6783	1
6825	6825	2
6860	6825	1
6860	6860	1
6861	6860	1
6871	1580	1
6879	5514	1
6899	6899	1
6914	6871	1
6914	6914	1
6917	6914	1
6920	6920	1
6923	6923	1
6923	6925	1
6924	6923	1
6925	6879	1
6925	6925	1
6951	6976	1
6952	4634	1
6952	6952	1
6959	6952	1
6976	5514	1
6976	6976	1
6995	7023	1
6998	6995	1
7023	6951	1
7028	5828	1
7028	7028	1
7039	7350	1
7045	7356	1
7051	7051	1
7054	7051	1
7054	7054	1
7055	7054	1
7089	7089	1
7089	99999933	1
7171	7089	1
7203	7203	2
7203	7206	1
7203	7225	1
7204	7203	1
7206	7207	1
7207	7207	1
7207	7208	1
7208	7204	1
7208	7208	1
7211	7203	1
7212	7213	1
7213	7211	1
7213	7213	1
7214	7212	1
7216	7214	1
7220	7216	1
7220	7220	1
7221	7220	1
7239	99999923	1
7246	7246	1
7247	7246	1
7248	7248	1
7249	7248	1
7253	7253	1
7253	7254	1
7254	7254	1
7255	7253	1
7265	7249	1
7265	7265	1
7266	7265	1
7287	6920	1
7303	7303	1
7303	7306	1
7304	7303	1
7306	7307	1
7307	6955	1
7307	7307	1
7308	7308	1
7308	7342	1
7310	7312	1
7312	7312	1
7316	7317	1
7317	7317	1
7318	7319	1
7319	7319	1
7319	99999917	1
7342	7342	1
7342	7345	1
7343	7308	1
7345	7345	1
7350	7350	1
7356	7356	1
7356	7358	1
7358	7358	1
7358	7397	1
7378	7378	1
7394	7395	1
7395	7395	1
7397	7397	1
